value1,value2,value3
107.4507123,35.84629258,210.7336208
97.92603548,45.79354677,216.8235358
109.7153281,46.57285483,232.4915373
122.8454478,41.97722731,231.6140616
96.48769938,48.38714288,158.669919
123.6881922,68.86185901,215.451058
111.5115209,51.74577813,215.4135785
92.95788421,52.57550391,215.4514306
108.1384007,49.25554084,315.5819447
93.04873461,30.81228785,217.1267153
93.0140537,49.73486125,234.0669692
103.6294341,50.6023021,228.6200529
71.30079633,74.63242112,219.5417375
74.12623251,48.07639035,190.5419227
84.80753319,49.6528823,176.8152436
104.71371,38.31321962,192.8954418
86.37963887,61.42822815,185.4390936
78.81544448,57.51933033,202.4562242
121.9847315,57.91031947,269.439757
96.61335549,40.90612545,143.9820442
101.0129231,64.02794311,220.5878057
78.62877721,35.98148937,151.6185239
91.83425913,55.86857094,185.842044
82.73509634,40.09463675,201.9284006
105.6354703,44.3370227,167.6676567
90.99041965,50.99651365,178.5408887
95.62459375,44.96524346,220.3879325
90.97440082,34.49336569,178.089001
127.7841728,50.68562975,206.4937577
99.79754163,39.37696286,201.3671552
84.13433607,54.73592431,180.4519896
112.3381737,40.80575766,264.3183227
81.68734525,65.49934405,219.0175707
103.1329539,42.16746708,139.2457224
70.60494814,46.77938484,205.5936294
80.07720927,58.13517217,180.1464061
102.9529185,37.69135684,225.573
111.0769987,52.27459935,176.2243778
102.5705242,63.07142754,196.5579068
98.26527576,33.92516765,215.1496184
95.48344457,51.84633859,225.9726558
77.82217014,52.59882794,163.9911078
89.20233687,57.81822872,189.9649629
93.09041844,37.63049289,185.7516407
115.8568334,36.79543387,180.400123
105.1542743,55.21941566,252.9636272
73.55439767,52.96984673,212.1494513
104.8612595,52.5049285,162.1734814
94.22376579,53.46448209,227.5358584
89.84617,43.19975278,263.6646859
109.1751443,52.32253697,230.9739578
115.4649928,52.93072473,154.418901
113.9692018,42.85648582,185.4729778
87.41173715,68.65774511,238.0073345
95.36181436,54.73832921,178.769916
104.9689515,38.08696503,213.3145828
114.6331769,56.56553609,223.2390216
92.81238643,40.2531833,172.1920859
97.21511535,57.87084604,198.2142393
83.40497539,61.58595579,102.7619798
82.05690064,41.79317682,169.2683708
112.1878873,59.63376129,192.4229555
120.3436004,54.12780927,162.5665045
98.91984818,58.2206016,248.9723391
115.0529935,68.96792983,157.0957587
105.4245404,47.54611884,186.7986654
90.32320368,42.46263836,203.9222173
105.4209341,41.1048557,243.2381987
123.0705485,41.84189715,156.9241355
99.46260941,49.22898291,234.8949126
123.4696548,53.41151975,200.3069918
60.70382344,52.76690799,170.5547405
112.3285376,58.27183249,213.8631042
101.305706,50.13001892,205.9717909
95.51488974,64.53534077,181.9934937
101.3764116,47.35343167,202.0940625
70.18646628,77.20169167,188.4405921
96.70492168,56.25667348,203.4055204
105.3566886,41.42842444,219.8639202
122.1684107,39.29107502,247.5805045
92.22594673,54.82472415,162.865535
87.87259596,47.76537215,263.9910012
92.47364435,57.14000494,141.437366
113.7310318,54.73237625,195.4464471
104.9312666,49.27171087,217.6495162
92.05359694,41.53206282,208.429756
107.6990115,34.85152775,181.3190144
101.4561632,45.53485048,193.7563325
114.5296749,58.56398794,185.209972
89.46920359,52.14093744,182.3190573
95.0850678,37.54261221,225.4880629
94.1183777,51.73180926,210.7104646
78.04727578,53.8531738,179.2127121
104.4418042,41.16142564,226.9879963
103.9158291,51.53725106,209.2189856
100.0767018,50.58208718,224.3858636
96.481193,38.57029702,218.8888653
